Epoque Erreur entrainement Erreur test
<<<<<<< HEAD
0 0.3492949306964874 0
1 0.33850765228271484 0
2 0.33305567502975464 0
3 0.33619362115859985 0
4 0.33039945363998413 0
5 0.32957497239112854 0
6 0.33069705963134766 0
7 0.3274764120578766 0
8 0.33328500390052795 0
9 0.3344413936138153 0
10 0.33744698762893677 0
11 0.33611515164375305 0
12 0.32493653893470764 0
13 0.32757851481437683 0
14 0.3253426253795624 0
15 0.32171061635017395 0
16 0.3289962410926819 0
17 0.33172115683555603 0
18 0.3254092335700989 0
19 0.3173195421695709 0
20 0.3478113114833832 0
21 0.3214936852455139 0
22 0.3309985399246216 0
23 0.3261473476886749 0
24 0.31864115595817566 0
25 0.317979633808136 0
26 0.318906307220459 0
27 0.31903204321861267 0
28 0.3162078559398651 0
29 0.3142632246017456 0
=======
>>>>>>> e7340a6ae18439ecb19a58dcfc0d3f74365802b1
